  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.09500,0.39500,0.31000,0.00000,0.20000,0.07661,0.00318,0.68481
  3,0.00000,0.00000,1.00000,0.00000,0.00000,0.13802,0.01015,1.45471
  4,0.00000,0.37000,0.63000,0.00000,0.00000,0.13067,0.00494,0.54803
  5,0.00000,0.37500,0.62500,0.00000,0.00000,0.13109,0.00413,0.56920
  6,0.04500,0.24000,0.65500,0.03000,0.03000,0.12744,0.00344,0.46921
  7,0.00000,0.14000,0.59500,0.00000,0.26500,0.15638,0.00447,0.49151
  8,0.00000,0.14000,0.59000,0.00000,0.27000,0.15639,0.00405,0.50143
  9,0.00000,0.16500,0.61500,0.00000,0.22000,0.15599,0.00335,0.45721
 10,0.00000,0.10500,0.61500,0.06500,0.21500,0.15888,0.00344,0.45278
 11,0.00000,0.10500,0.60000,0.07500,0.22000,0.15842,0.00339,0.46423
 12,0.00000,0.10500,0.60500,0.07000,0.22000,0.15828,0.00316,0.46122
 13,0.00000,0.10500,0.60500,0.07000,0.22000,0.15825,0.00294,0.46256
 14,0.00000,0.11000,0.60500,0.07500,0.21000,0.15834,0.00325,0.45781
 15,0.00000,0.11000,0.60500,0.07500,0.21000,0.15813,0.00315,0.46572
 16,0.00000,0.11500,0.64500,0.01500,0.22500,0.15539,0.00380,0.49704
 17,0.00000,0.12000,0.64000,0.01500,0.22500,0.15491,0.00385,0.50768
 18,0.00000,0.09500,0.63000,0.05000,0.22500,0.15481,0.00346,0.50086
 19,0.00000,0.09500,0.63000,0.05000,0.22500,0.15479,0.00315,0.49476
 20,0.06500,0.12500,0.63500,0.00000,0.17500,0.15690,0.00283,0.44968
 21,0.04000,0.10000,0.65500,0.00000,0.20500,0.15889,0.00300,0.44897
 22,0.00000,0.44000,0.00000,0.56000,0.00000,0.14059,0.00399,0.43396
 22,0.04000,0.09500,0.66000,0.00000,0.20500,0.15971,0.00399,0.43396
 23,0.00000,0.38000,0.00000,0.62000,0.00000,0.14658,0.00407,0.41788
 23,0.04500,0.10000,0.65500,0.00000,0.20000,0.15980,0.00407,0.41788
 24,0.00000,0.43000,0.00000,0.57000,0.00000,0.14133,0.00397,0.41685
 24,0.04500,0.10000,0.65500,0.00000,0.20000,0.15984,0.00397,0.41685
 25,0.00000,0.43000,0.00000,0.57000,0.00000,0.14230,0.00428,0.40862
 25,0.04500,0.11000,0.65000,0.00000,0.19500,0.16026,0.00428,0.40862
 26,0.00000,0.43000,0.00000,0.57000,0.00000,0.14224,0.00402,0.40505
 26,0.04500,0.11000,0.65000,0.00000,0.19500,0.16031,0.00402,0.40505
 27,0.00000,0.43000,0.00000,0.57000,0.00000,0.14241,0.00422,0.40324
 27,0.00000,0.07500,0.65500,0.00500,0.26500,0.15829,0.00422,0.40324
 28,0.00000,0.43000,0.00000,0.57000,0.00000,0.14236,0.00404,0.40263
 28,0.00000,0.07500,0.65000,0.01000,0.26500,0.15822,0.00404,0.40263
 29,0.00000,0.43000,0.00000,0.57000,0.00000,0.14230,0.00405,0.40934
 29,0.00000,0.08000,0.65500,0.00500,0.26000,0.15811,0.00405,0.40934
 30,0.00000,0.43000,0.00000,0.57000,0.00000,0.14218,0.00399,0.41075
 30,0.00000,0.07500,0.65500,0.01000,0.26000,0.15800,0.00399,0.41075
 30,0.00000,0.07500,0.65500,0.01000,0.26000,0.15800,0.00399,0.41075
 31,0.00000,0.43500,0.00000,0.56500,0.00000,0.14269,0.00423,0.41798
 31,0.00000,0.08500,0.65500,0.00500,0.25500,0.15781,0.00423,0.41798
 31,0.00000,0.08500,0.65500,0.00500,0.25500,0.15781,0.00423,0.41798
 32,0.00000,0.43500,0.00000,0.56500,0.00000,0.14262,0.00408,0.41826
 32,0.00000,0.08500,0.65500,0.00500,0.25500,0.15775,0.00408,0.41826
 32,0.00000,0.08500,0.65500,0.00500,0.25500,0.15775,0.00408,0.41826
 33,0.00000,0.43500,0.00000,0.56500,0.00000,0.14262,0.00409,0.41817
 33,0.00000,0.08000,0.66000,0.00000,0.26000,0.15812,0.00409,0.41817
 33,0.00000,0.08000,0.66000,0.00000,0.26000,0.15812,0.00409,0.41817
 34,0.00000,0.43500,0.00000,0.56500,0.00000,0.14253,0.00406,0.42097
 34,0.00000,0.08000,0.66000,0.00000,0.26000,0.15810,0.00406,0.42097
 34,0.00000,0.08000,0.66000,0.00000,0.26000,0.15810,0.00406,0.42097
