  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00399,0.21444
  2,0.04000,0.28000,0.24000,0.24500,0.19500,0.08914,0.00399,0.21444
  3,0.00500,0.39000,0.37500,0.05500,0.17500,0.10644,0.00489,0.54101
  4,0.00000,0.44500,0.41000,0.00000,0.14500,0.11466,0.00496,0.68545
  5,0.00000,0.40000,0.12000,0.00000,0.48000,0.13686,0.00655,0.77729
  6,0.00000,0.53500,0.09500,0.00000,0.37000,0.14434,0.00474,0.50815
  7,0.10000,0.58000,0.00000,0.00000,0.32000,0.16269,0.00550,0.55274
  8,0.04000,0.61500,0.00000,0.00000,0.34500,0.16408,0.00485,0.53637
  9,0.02500,0.62500,0.00000,0.00000,0.35000,0.16505,0.00499,0.56327
 10,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00713,0.00394,0.41328
 10,0.13500,0.51500,0.01000,0.00000,0.34000,0.16519,0.00394,0.41328
 10,0.00000,0.06000,0.93000,0.00000,0.01000,0.06783,0.00394,0.41328
 11,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00885,0.00374,0.42512
 11,0.14000,0.51500,0.00000,0.00000,0.34500,0.16474,0.00374,0.42512
 11,0.00000,0.07500,0.91500,0.00000,0.01000,0.06801,0.00374,0.42512
 12,0.09500,0.54000,0.08000,0.03000,0.25500,0.16958,0.00379,0.35126
 12,0.00500,0.02000,0.96000,0.00000,0.01500,0.06736,0.00379,0.35126
 13,0.10500,0.56000,0.01000,0.05500,0.27000,0.16252,0.00398,0.37631
 14,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00284,0.00378,0.38522
 14,0.11000,0.56000,0.01000,0.05500,0.26500,0.16256,0.00378,0.38522
 15,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00455,0.00367,0.38352
 15,0.12000,0.56500,0.01000,0.04500,0.26000,0.16236,0.00367,0.38352
 16,0.12500,0.56500,0.00000,0.05500,0.25500,0.16380,0.00364,0.37120
 16,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00271,0.00364,0.37120
 17,0.12500,0.56500,0.00000,0.05500,0.25500,0.16362,0.00346,0.37482
 17,0.00000,0.00000,0.00000,1.00000,0.00000,-0.00278,0.00346,0.37482
 18,0.12500,0.56500,0.00000,0.05500,0.25500,0.16358,0.00317,0.37096
 18,0.00000,0.00000,0.00000,1.00000,0.00000,0.00013,0.00317,0.37096
 19,0.12500,0.56500,0.00000,0.05500,0.25500,0.16301,0.00307,0.37782
 20,0.12500,0.56500,0.00000,0.05500,0.25500,0.16295,0.00293,0.37840
 21,0.33000,0.00000,0.67000,0.00000,0.00000,0.15853,0.00396,0.37009
 21,0.13000,0.56500,0.00000,0.05000,0.25500,0.16365,0.00396,0.37009
 22,0.40500,0.00000,0.59500,0.00000,0.00000,0.16310,0.00403,0.37492
 22,0.12500,0.56500,0.00000,0.05500,0.25500,0.16346,0.00403,0.37492
 23,0.40500,0.00000,0.59500,0.00000,0.00000,0.16281,0.00422,0.38331
 23,0.12500,0.56500,0.00000,0.05500,0.25500,0.16322,0.00422,0.38331
 24,0.40500,0.00000,0.59500,0.00000,0.00000,0.16313,0.00412,0.38530
 24,0.12500,0.56500,0.00000,0.05500,0.25500,0.16300,0.00412,0.38530
 25,0.40500,0.00000,0.59500,0.00000,0.00000,0.16346,0.00391,0.38375
 25,0.12500,0.56500,0.00000,0.05500,0.25500,0.16297,0.00391,0.38375
 26,0.41000,0.00000,0.59000,0.00000,0.00000,0.16304,0.00429,0.39062
