     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.45000,0.20000,0.00000,0.30000,0.05000,0.0353603
0.40000,0.00000,0.15000,0.15000,0.30000,0.0110007
0.60000,0.05000,0.00000,0.05000,0.30000,0.0016525
0.40000,0.30000,0.00000,0.05000,0.25000,0.0706969
0.55000,0.00000,0.25000,0.20000,0.00000,0.0712571
0.40000,0.15000,0.10000,0.35000,0.00000,0.0302025
0.50000,0.05000,0.25000,0.10000,0.10000,0.0533932
0.30000,0.40000,0.10000,0.20000,0.00000,0.0879136
0.35000,0.35000,0.05000,0.25000,0.00000,0.0729618
0.55000,0.15000,0.15000,0.05000,0.10000,0.0365370
0.50000,0.20000,0.10000,0.20000,0.00000,0.0384618
0.95000,0.00000,0.00000,0.00000,0.05000,0.0000001
0.35000,0.20000,0.20000,0.15000,0.10000,0.0573623
0.40000,0.05000,0.30000,0.10000,0.15000,0.0513254
0.45000,0.50000,0.00000,0.05000,0.00000,0.0866786
0.30000,0.25000,0.25000,0.10000,0.10000,0.0736809
0.35000,0.10000,0.40000,0.10000,0.05000,0.0715829
0.45000,0.05000,0.40000,0.05000,0.05000,0.1006071
0.65000,0.20000,0.00000,0.10000,0.05000,0.0179434
0.45000,0.00000,0.10000,0.20000,0.25000,0.0074986
0.75000,0.00000,0.05000,0.15000,0.05000,0.0116917
0.60000,0.30000,0.00000,0.05000,0.05000,0.0395505
0.45000,0.20000,0.00000,0.25000,0.10000,0.0349645
0.35000,0.00000,0.15000,0.20000,0.30000,0.0100842
0.35000,0.05000,0.20000,0.15000,0.25000,0.0251505
0.40000,0.00000,0.15000,0.10000,0.35000,0.0079856
0.50000,0.05000,0.25000,0.05000,0.15000,0.0470601
0.40000,0.30000,0.00000,0.00000,0.30000,0.0646259
0.40000,0.15000,0.10000,0.30000,0.05000,0.0356172
0.90000,0.10000,0.00000,0.00000,0.00000,0.0011667
0.55000,0.00000,0.25000,0.15000,0.05000,0.0638099
0.30000,0.40000,0.10000,0.15000,0.05000,0.0978934
0.50000,0.20000,0.10000,0.15000,0.05000,0.0397785
0.35000,0.35000,0.05000,0.20000,0.05000,0.0823210
0.55000,0.15000,0.15000,0.00000,0.15000,0.0349427
0.40000,0.05000,0.30000,0.05000,0.20000,0.0505962
0.45000,0.50000,0.00000,0.00000,0.05000,0.0948715
0.35000,0.20000,0.20000,0.10000,0.15000,0.0581258
0.60000,0.05000,0.00000,0.00000,0.35000,0.0012329
0.30000,0.25000,0.25000,0.05000,0.15000,0.0725506
0.45000,0.05000,0.40000,0.00000,0.10000,0.0943471
0.35000,0.10000,0.40000,0.05000,0.10000,0.0739616
0.65000,0.20000,0.00000,0.05000,0.10000,0.0183209
0.60000,0.30000,0.00000,0.00000,0.10000,0.0403966
0.75000,0.00000,0.05000,0.10000,0.10000,0.0068700
0.45000,0.20000,0.00000,0.20000,0.15000,0.0381100
0.45000,0.00000,0.10000,0.15000,0.30000,0.0080405
0.35000,0.00000,0.15000,0.15000,0.35000,0.0090177
0.50000,0.05000,0.25000,0.00000,0.20000,0.0384352
0.35000,0.05000,0.20000,0.10000,0.30000,0.0250458
0.90000,0.05000,0.05000,0.00000,0.00000,0.0136429
0.40000,0.15000,0.10000,0.25000,0.10000,0.0348224
0.55000,0.00000,0.25000,0.10000,0.10000,0.0503017
0.40000,0.00000,0.15000,0.05000,0.40000,0.0081128
0.50000,0.20000,0.10000,0.10000,0.10000,0.0397408
0.40000,0.25000,0.35000,0.00000,0.00000,0.0684288
0.30000,0.40000,0.10000,0.10000,0.10000,0.1028528
0.40000,0.05000,0.30000,0.00000,0.25000,0.0464555
0.35000,0.35000,0.05000,0.15000,0.10000,0.0863116
0.45000,0.45000,0.10000,0.00000,0.00000,0.0755403
0.55000,0.15000,0.10000,0.20000,0.00000,0.0302115
0.35000,0.20000,0.20000,0.05000,0.20000,0.0553615
0.60000,0.00000,0.40000,0.00000,0.00000,0.1364418
0.30000,0.25000,0.25000,0.00000,0.20000,0.0680083
0.45000,0.05000,0.35000,0.15000,0.00000,0.0776581
0.35000,0.10000,0.40000,0.00000,0.15000,0.0718815
0.65000,0.20000,0.00000,0.00000,0.15000,0.0180597
0.45000,0.20000,0.00000,0.15000,0.20000,0.0333234
0.60000,0.25000,0.15000,0.00000,0.00000,0.0453209
0.90000,0.05000,0.00000,0.05000,0.00000,0.0003509
0.50000,0.05000,0.20000,0.25000,0.00000,0.0468711
0.75000,0.00000,0.05000,0.05000,0.15000,0.0039801
0.35000,0.00000,0.15000,0.10000,0.40000,0.0073849
0.40000,0.15000,0.10000,0.20000,0.15000,0.0346206
0.35000,0.05000,0.20000,0.05000,0.35000,0.0204498
0.50000,0.20000,0.10000,0.05000,0.15000,0.0361172
0.45000,0.00000,0.10000,0.10000,0.35000,0.0045860
0.55000,0.00000,0.25000,0.05000,0.15000,0.0474131
0.40000,0.05000,0.25000,0.30000,0.00000,0.0459395
0.40000,0.00000,0.15000,0.00000,0.45000,0.0063104
0.30000,0.40000,0.10000,0.05000,0.15000,0.1082916
0.45000,0.45000,0.05000,0.05000,0.00000,0.0771267
0.35000,0.20000,0.20000,0.00000,0.25000,0.0577663
0.40000,0.25000,0.30000,0.05000,0.00000,0.0676512
0.35000,0.35000,0.05000,0.10000,0.15000,0.0918974
0.55000,0.15000,0.10000,0.15000,0.05000,0.0306806
0.30000,0.25000,0.20000,0.25000,0.00000,0.0612043
0.60000,0.00000,0.35000,0.05000,0.00000,0.1188960
0.45000,0.05000,0.35000,0.10000,0.05000,0.0784597
0.35000,0.10000,0.35000,0.20000,0.00000,0.0664071
0.65000,0.15000,0.20000,0.00000,0.00000,0.0529256
0.45000,0.20000,0.00000,0.10000,0.25000,0.0322691
0.50000,0.05000,0.20000,0.20000,0.05000,0.0396216
0.60000,0.25000,0.10000,0.05000,0.00000,0.0393653
0.90000,0.05000,0.00000,0.00000,0.05000,0.0003985
0.40000,0.15000,0.10000,0.15000,0.20000,0.0313189
0.50000,0.20000,0.10000,0.00000,0.20000,0.0329487
0.40000,0.00000,0.10000,0.50000,0.00000,0.0131691
0.35000,0.00000,0.15000,0.05000,0.45000,0.0069210
0.55000,0.00000,0.25000,0.00000,0.20000,0.0364079
0.35000,0.05000,0.20000,0.00000,0.40000,0.0184899
0.40000,0.05000,0.25000,0.25000,0.05000,0.0422375
0.35000,0.20000,0.15000,0.30000,0.00000,0.0410302
0.75000,0.00000,0.05000,0.00000,0.20000,0.0019711
0.30000,0.40000,0.10000,0.00000,0.20000,0.1011477
0.45000,0.45000,0.05000,0.00000,0.05000,0.0802619
0.45000,0.00000,0.10000,0.05000,0.40000,0.0022914
0.55000,0.15000,0.10000,0.10000,0.10000,0.0282700
0.35000,0.35000,0.05000,0.05000,0.20000,0.0873580
0.40000,0.25000,0.30000,0.00000,0.05000,0.0646888
0.30000,0.25000,0.20000,0.20000,0.05000,0.0641374
0.60000,0.00000,0.35000,0.00000,0.05000,0.1075176
0.45000,0.05000,0.35000,0.05000,0.10000,0.0733612
0.35000,0.10000,0.35000,0.15000,0.05000,0.0592678
0.65000,0.15000,0.15000,0.05000,0.00000,0.0426477
0.45000,0.20000,0.00000,0.05000,0.30000,0.0348453
0.50000,0.05000,0.20000,0.15000,0.10000,0.0365345
0.40000,0.00000,0.10000,0.45000,0.05000,0.0144633
0.90000,0.00000,0.10000,0.00000,0.00000,0.0251054
0.60000,0.25000,0.10000,0.00000,0.05000,0.0404219
0.40000,0.15000,0.10000,0.10000,0.25000,0.0314570
0.50000,0.20000,0.05000,0.25000,0.00000,0.0337383
0.35000,0.05000,0.15000,0.45000,0.00000,0.0194367
0.40000,0.05000,0.25000,0.20000,0.10000,0.0396522
0.75000,0.00000,0.00000,0.25000,0.00000,0.0000752
0.55000,0.00000,0.20000,0.25000,0.00000,0.0482133
0.35000,0.20000,0.15000,0.25000,0.05000,0.0496540
0.30000,0.40000,0.05000,0.25000,0.00000,0.0875258
0.35000,0.00000,0.15000,0.00000,0.50000,0.0066699
0.45000,0.45000,0.00000,0.10000,0.00000,0.0889347
0.55000,0.15000,0.10000,0.05000,0.15000,0.0301291
0.35000,0.35000,0.05000,0.00000,0.25000,0.0906154
0.40000,0.25000,0.25000,0.10000,0.00000,0.0645226
0.30000,0.25000,0.20000,0.15000,0.10000,0.0682494
0.45000,0.00000,0.10000,0.00000,0.45000,0.0024273
0.60000,0.00000,0.30000,0.10000,0.00000,0.0987802
0.45000,0.05000,0.35000,0.00000,0.15000,0.0727023
0.35000,0.10000,0.35000,0.10000,0.10000,0.0631323
0.65000,0.15000,0.15000,0.00000,0.05000,0.0372138
0.45000,0.20000,0.00000,0.00000,0.35000,0.0283001
0.50000,0.05000,0.20000,0.10000,0.15000,0.0325436
0.40000,0.00000,0.10000,0.40000,0.10000,0.0130775
0.50000,0.20000,0.05000,0.20000,0.05000,0.0358400
0.40000,0.15000,0.10000,0.05000,0.30000,0.0288506
0.90000,0.00000,0.05000,0.05000,0.00000,0.0107347
0.60000,0.25000,0.05000,0.10000,0.00000,0.0335064
0.35000,0.00000,0.10000,0.55000,0.00000,0.0120993
0.75000,0.00000,0.00000,0.20000,0.05000,0.0000457
0.35000,0.05000,0.15000,0.40000,0.05000,0.0229888
0.40000,0.05000,0.25000,0.15000,0.15000,0.0405260
0.30000,0.40000,0.05000,0.20000,0.05000,0.1014111
0.35000,0.20000,0.15000,0.20000,0.10000,0.0512837
0.55000,0.00000,0.20000,0.20000,0.05000,0.0438782
0.45000,0.45000,0.00000,0.05000,0.05000,0.0917481
0.35000,0.35000,0.00000,0.30000,0.00000,0.0729210
0.55000,0.15000,0.10000,0.00000,0.20000,0.0247848
0.45000,0.00000,0.05000,0.50000,0.00000,0.0075922
0.40000,0.25000,0.25000,0.05000,0.05000,0.0638638
0.30000,0.25000,0.20000,0.10000,0.15000,0.0736260
0.60000,0.00000,0.30000,0.05000,0.05000,0.0864369
0.45000,0.05000,0.30000,0.20000,0.00000,0.0600316
0.35000,0.10000,0.35000,0.05000,0.15000,0.0588759
0.65000,0.15000,0.10000,0.10000,0.00000,0.0309107
0.50000,0.05000,0.20000,0.05000,0.20000,0.0321279
0.40000,0.00000,0.10000,0.35000,0.15000,0.0106765
0.45000,0.15000,0.40000,0.00000,0.00000,0.0787463
0.50000,0.20000,0.05000,0.15000,0.10000,0.0390673
0.40000,0.15000,0.10000,0.00000,0.35000,0.0300619
0.35000,0.00000,0.10000,0.50000,0.05000,0.0101938
0.60000,0.25000,0.05000,0.05000,0.05000,0.0342140
0.40000,0.05000,0.25000,0.10000,0.20000,0.0429460
0.90000,0.00000,0.05000,0.00000,0.05000,0.0060754
0.35000,0.05000,0.15000,0.35000,0.10000,0.0246784
0.75000,0.00000,0.00000,0.15000,0.10000,0.0000178
0.35000,0.20000,0.15000,0.15000,0.15000,0.0566892
0.30000,0.40000,0.05000,0.15000,0.10000,0.1177931
0.55000,0.00000,0.20000,0.15000,0.10000,0.0406633
0.45000,0.45000,0.00000,0.00000,0.10000,0.0950175
0.35000,0.35000,0.00000,0.25000,0.05000,0.0933414
